"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PCSK2",1.10039776210395e-150,1.6444219860437,0.995,0.51,2.85553219265975e-146,"0","PCSK2"
"VGF",2.863215960162e-148,1.88318970258581,0.974,0.367,7.43004541662038e-144,"0","VGF"
"CFC1",3.21465072666141e-139,1.96201579925325,0.986,0.523,8.34201863568637e-135,"0","CFC1"
"TM4SF4",7.44370002124379e-139,1.60195978387135,0.997,0.491,1.93164015551276e-134,"0","TM4SF4"
"CLU",1.9873628463473e-138,1.43199848735979,1,0.69,5.15720658627124e-134,"0","CLU"
"CRYBA2",2.42977851967661e-137,1.55462581712195,0.937,0.259,6.30527525856081e-133,"0","CRYBA2"
"CD99",2.03503642087975e-135,1.39910274423459,0.998,0.69,5.28091951218294e-131,"0","CD99"
"TMEM176A",1.05098924414331e-128,1.4105317140617,0.981,0.419,2.72731708855188e-124,"0","TMEM176A"
"TMEM176B",1.61307483904199e-128,1.41569987882517,0.988,0.45,4.18592920731396e-124,"0","TMEM176B"
"GC",7.23588771524417e-128,1.30848954440294,0.875,0.201,1.87771286210586e-123,"0","GC"
"SLC22A17",1.57331372216963e-120,1.291557462311,0.939,0.335,4.08274910903018e-116,"0","SLC22A17"
"IRX2",2.37302638455541e-119,1.18355032584996,0.794,0.159,6.1580034679213e-115,"0","IRX2"
"SLC7A2",1.85232157310447e-118,1.28867652683915,0.948,0.345,4.80677448220611e-114,"0","SLC7A2"
"ELAPOR1",1.02665764463276e-117,1.30991593825167,0.976,0.484,2.664176587822e-113,"0","ELAPOR1"
"TTR",3.75153170567365e-116,1.41067382676303,1,0.883,9.73522477622313e-112,"0","TTR"
"LOXL4",5.85151084175369e-115,2.0285517158738,0.634,0.102,1.51846706343508e-110,"0","LOXL4"
"PAPPA2",3.0305546274718e-111,1.34876032506311,0.618,0.09,7.86428925828933e-107,"0","PAPPA2"
"SLC7A8",4.72374481826111e-110,1.20624492958404,0.885,0.269,1.22581178033876e-105,"0","SLC7A8"
"FXYD3",6.88785341874631e-109,1.27115928116722,0.833,0.247,1.78739796216467e-104,"0","FXYD3"
"SPINT2",6.95792929529929e-107,1.05013950853937,0.998,0.688,1.80558265213017e-102,"0","SPINT2"
"F10",9.64049024761645e-100,1.01674072398893,0.622,0.101,2.50170721925647e-95,"0","F10"
"MALAT1",1.2401412007921e-98,0.929891963404159,0.998,0.87,3.2181664160555e-94,"0","MALAT1"
"CHGB",3.55918186717962e-98,1.31833798411159,1,0.582,9.23607694533112e-94,"0","CHGB"
"ALDH1A1",3.51545656462529e-96,1.22009392257869,0.974,0.5,9.12260978520262e-92,"0","ALDH1A1"
"MAFB",4.7233396442881e-95,1.15246478737403,0.955,0.399,1.22570663769276e-90,"0","MAFB"
"GCG",2.94131820140137e-94,1.08320856089867,1,0.95,7.63272073263656e-90,"0","GCG"
"ARFGEF3",9.52994512188367e-94,1.0868126015372,0.918,0.349,2.47302075912881e-89,"0","ARFGEF3"
